Epoch,Error mean,Error std
1,0.004744,0.000123
2,0.004722,0.000127
3,0.004702,0.000131
4,0.004685,0.000138
5,0.004673,0.000145
6,0.004666,0.000148
7,0.004660,0.000150
8,0.004659,0.000147
9,0.004659,0.000143
10,0.004662,0.000138
11,0.004668,0.000134
12,0.004675,0.000131
13,0.004687,0.000125
14,0.004699,0.000120
15,0.004712,0.000115
16,0.004727,0.000110
17,0.004746,0.000107
18,0.004766,0.000104
19,0.004787,0.000102
20,0.004809,0.000101
21,0.004832,0.000101
22,0.004858,0.000102
23,0.004884,0.000104
24,0.004912,0.000105
25,0.004940,0.000108
26,0.004970,0.000109
27,0.005002,0.000112
28,0.005035,0.000113
29,0.005068,0.000115
30,0.005101,0.000117
31,0.005136,0.000117
32,0.005173,0.000116
33,0.005211,0.000115
34,0.005248,0.000114
35,0.005285,0.000113
36,0.005323,0.000113
37,0.005361,0.000113
38,0.005399,0.000112
39,0.005437,0.000112
40,0.005475,0.000111
41,0.005513,0.000110
42,0.005551,0.000110
43,0.005589,0.000109
44,0.005627,0.000108
45,0.005665,0.000106
46,0.005702,0.000104
47,0.005740,0.000102
48,0.005777,0.000100
49,0.005814,0.000098
50,0.005851,0.000096
51,0.005888,0.000094
52,0.005925,0.000093
53,0.005962,0.000093
54,0.005998,0.000092
55,0.006036,0.000091
56,0.006073,0.000090
57,0.006109,0.000088
58,0.006146,0.000088
59,0.006182,0.000086
60,0.006219,0.000085
