Epoch,Error mean,Error std
1,0.004800,0.000132
2,0.004796,0.000154
3,0.004814,0.000160
4,0.004847,0.000163
5,0.004881,0.000167
6,0.004920,0.000177
7,0.004960,0.000185
8,0.005002,0.000191
9,0.005045,0.000197
10,0.005087,0.000206
11,0.005131,0.000211
12,0.005174,0.000216
13,0.005214,0.000220
14,0.005253,0.000223
15,0.005291,0.000226
16,0.005329,0.000228
17,0.005365,0.000231
18,0.005399,0.000234
19,0.005432,0.000236
20,0.005463,0.000237
21,0.005495,0.000239
22,0.005529,0.000243
23,0.005560,0.000245
24,0.005590,0.000248
25,0.005620,0.000251
26,0.005648,0.000253
27,0.005674,0.000256
28,0.005699,0.000260
29,0.005723,0.000262
30,0.005747,0.000265
31,0.005768,0.000268
32,0.005790,0.000272
33,0.005810,0.000275
34,0.005829,0.000278
35,0.005848,0.000281
36,0.005867,0.000283
37,0.005885,0.000286
38,0.005904,0.000289
39,0.005922,0.000291
40,0.005939,0.000294
41,0.005956,0.000295
42,0.005973,0.000295
43,0.005990,0.000294
44,0.006007,0.000293
45,0.006023,0.000292
46,0.006038,0.000292
47,0.006053,0.000291
48,0.006067,0.000290
49,0.006082,0.000289
50,0.006097,0.000288
51,0.006111,0.000287
52,0.006125,0.000286
53,0.006139,0.000285
54,0.006152,0.000285
55,0.006165,0.000284
56,0.006178,0.000284
57,0.006190,0.000284
58,0.006203,0.000283
59,0.006215,0.000282
60,0.006227,0.000281
