Epoch,Error mean,Error std
1,0.004017,0.000146
2,0.003356,0.000141
3,0.002823,0.000150
4,0.002405,0.000150
5,0.002080,0.000148
6,0.001831,0.000149
7,0.001639,0.000153
8,0.001498,0.000153
9,0.001412,0.000150
10,0.001364,0.000144
11,0.001345,0.000141
12,0.001341,0.000137
13,0.001348,0.000134
14,0.001361,0.000130
15,0.001378,0.000127
16,0.001394,0.000125
17,0.001410,0.000124
18,0.001426,0.000124
19,0.001440,0.000124
20,0.001454,0.000125
21,0.001466,0.000126
22,0.001478,0.000127
23,0.001489,0.000128
24,0.001498,0.000128
25,0.001507,0.000129
26,0.001516,0.000129
27,0.001525,0.000130
28,0.001532,0.000131
29,0.001539,0.000131
30,0.001546,0.000132
31,0.001552,0.000132
32,0.001559,0.000133
33,0.001564,0.000134
34,0.001570,0.000134
35,0.001575,0.000135
36,0.001579,0.000135
37,0.001584,0.000135
38,0.001588,0.000135
39,0.001593,0.000136
40,0.001597,0.000136
41,0.001601,0.000136
42,0.001604,0.000136
43,0.001608,0.000136
44,0.001611,0.000136
45,0.001614,0.000137
46,0.001617,0.000137
47,0.001620,0.000137
48,0.001623,0.000138
49,0.001626,0.000138
50,0.001628,0.000138
51,0.001631,0.000139
52,0.001634,0.000139
53,0.001636,0.000140
54,0.001638,0.000140
55,0.001641,0.000141
56,0.001643,0.000141
57,0.001645,0.000142
58,0.001647,0.000142
59,0.001649,0.000143
60,0.001651,0.000143
