Epoch,Error mean,Error std
1,0.003708,0.000151
2,0.002925,0.000158
3,0.002366,0.000162
4,0.001959,0.000159
5,0.001656,0.000155
6,0.001427,0.000150
7,0.001251,0.000146
8,0.001115,0.000142
9,0.001007,0.000138
10,0.000920,0.000134
11,0.000851,0.000130
12,0.000795,0.000126
13,0.000749,0.000122
14,0.000710,0.000119
15,0.000677,0.000116
16,0.000650,0.000113
17,0.000626,0.000110
18,0.000606,0.000107
19,0.000588,0.000105
20,0.000572,0.000103
21,0.000558,0.000101
22,0.000545,0.000100
23,0.000534,0.000099
24,0.000523,0.000098
25,0.000514,0.000097
26,0.000505,0.000096
27,0.000498,0.000096
28,0.000490,0.000095
29,0.000484,0.000095
30,0.000478,0.000094
31,0.000472,0.000093
32,0.000467,0.000093
33,0.000462,0.000092
34,0.000457,0.000092
35,0.000452,0.000092
36,0.000448,0.000091
37,0.000445,0.000091
38,0.000441,0.000091
39,0.000438,0.000090
40,0.000435,0.000090
41,0.000432,0.000090
42,0.000429,0.000090
43,0.000426,0.000090
44,0.000424,0.000090
45,0.000421,0.000090
46,0.000419,0.000089
47,0.000417,0.000089
48,0.000414,0.000089
49,0.000413,0.000089
50,0.000411,0.000089
51,0.000409,0.000088
52,0.000407,0.000088
53,0.000405,0.000088
54,0.000404,0.000088
55,0.000402,0.000088
56,0.000400,0.000087
57,0.000399,0.000087
58,0.000397,0.000087
59,0.000396,0.000087
60,0.000394,0.000087
