Epoch,Error mean,Error std
1,0.0000275439,0.0000001795
2,0.0000219815,0.0000001676
3,0.0000180262,0.0000001468
4,0.0000151622,0.0000001261
5,0.0000130596,0.0000001079
6,0.0000114974,0.0000000918
7,0.0000103245,0.0000000797
8,0.0000094347,0.0000000699
9,0.0000087522,0.0000000639
10,0.0000082237,0.0000000596
11,0.0000078095,0.0000000563
12,0.0000074816,0.0000000535
13,0.0000072189,0.0000000518
14,0.0000070070,0.0000000511
15,0.0000068342,0.0000000511
16,0.0000066918,0.0000000515
17,0.0000065731,0.0000000520
18,0.0000064733,0.0000000525
19,0.0000063889,0.0000000532
20,0.0000063171,0.0000000537
21,0.0000062551,0.0000000539
22,0.0000062016,0.0000000540
23,0.0000061549,0.0000000538
24,0.0000061138,0.0000000538
25,0.0000060776,0.0000000538
26,0.0000060457,0.0000000537
27,0.0000060174,0.0000000536
28,0.0000059922,0.0000000537
29,0.0000059696,0.0000000538
30,0.0000059493,0.0000000540
