Epoch,Error mean,Error std
1,0.0000275892,0.0000002181
2,0.0000220493,0.0000001858
3,0.0000181209,0.0000001616
4,0.0000152840,0.0000001441
5,0.0000132063,0.0000001280
6,0.0000116651,0.0000001146
7,0.0000105098,0.0000001046
8,0.0000096365,0.0000000980
9,0.0000089701,0.0000000938
10,0.0000084576,0.0000000907
11,0.0000080610,0.0000000885
12,0.0000077510,0.0000000867
13,0.0000075072,0.0000000852
14,0.0000073139,0.0000000840
15,0.0000071594,0.0000000832
16,0.0000070357,0.0000000825
17,0.0000069364,0.0000000820
18,0.0000068562,0.0000000818
19,0.0000067915,0.0000000817
20,0.0000067394,0.0000000819
21,0.0000066981,0.0000000820
22,0.0000066657,0.0000000817
23,0.0000066405,0.0000000815
24,0.0000066217,0.0000000813
25,0.0000066083,0.0000000811
26,0.0000065996,0.0000000811
27,0.0000065948,0.0000000813
28,0.0000065937,0.0000000817
29,0.0000065960,0.0000000819
30,0.0000066011,0.0000000823
