Epoch,Error mean,Error std
1,0.0000277785,0.0000002190
2,0.0000223180,0.0000001870
3,0.0000184218,0.0000001623
4,0.0000155954,0.0000001444
5,0.0000135170,0.0000001290
6,0.0000119713,0.0000001158
7,0.0000108104,0.0000001048
8,0.0000099306,0.0000000974
9,0.0000092594,0.0000000928
10,0.0000087434,0.0000000898
11,0.0000083440,0.0000000871
12,0.0000080328,0.0000000850
13,0.0000077891,0.0000000833
14,0.0000075971,0.0000000818
15,0.0000074447,0.0000000808
16,0.0000073234,0.0000000806
17,0.0000072270,0.0000000805
18,0.0000071510,0.0000000805
19,0.0000070916,0.0000000808
20,0.0000070453,0.0000000811
21,0.0000070100,0.0000000813
22,0.0000069837,0.0000000816
23,0.0000069653,0.0000000818
24,0.0000069537,0.0000000820
25,0.0000069479,0.0000000821
26,0.0000069471,0.0000000820
27,0.0000069510,0.0000000820
28,0.0000069592,0.0000000821
29,0.0000069711,0.0000000821
30,0.0000069864,0.0000000821
