Epoch,Error mean,Error std
1,0.0000278571,0.0000001363
2,0.0000224304,0.0000001169
3,0.0000185714,0.0000001002
4,0.0000157810,0.0000000875
5,0.0000137355,0.0000000803
6,0.0000122234,0.0000000744
7,0.0000110939,0.0000000704
8,0.0000102422,0.0000000689
9,0.0000095949,0.0000000666
10,0.0000090996,0.0000000649
11,0.0000087157,0.0000000642
12,0.0000084162,0.0000000646
13,0.0000081794,0.0000000649
14,0.0000079911,0.0000000652
15,0.0000078405,0.0000000656
16,0.0000077193,0.0000000659
17,0.0000076202,0.0000000661
18,0.0000075391,0.0000000661
19,0.0000074722,0.0000000664
20,0.0000074167,0.0000000667
21,0.0000073704,0.0000000669
22,0.0000073316,0.0000000670
23,0.0000072989,0.0000000667
24,0.0000072715,0.0000000665
25,0.0000072484,0.0000000664
26,0.0000072292,0.0000000661
27,0.0000072131,0.0000000657
28,0.0000071997,0.0000000653
29,0.0000071887,0.0000000651
30,0.0000071797,0.0000000649
