Epoch,Error mean,Error std
1,0.0000275859,0.0000001352
2,0.0000220044,0.0000001182
3,0.0000180411,0.0000001039
4,0.0000151707,0.0000000948
5,0.0000130626,0.0000000876
6,0.0000114975,0.0000000807
7,0.0000103211,0.0000000771
8,0.0000094263,0.0000000750
9,0.0000087391,0.0000000721
10,0.0000082075,0.0000000684
11,0.0000077913,0.0000000659
12,0.0000074614,0.0000000636
13,0.0000071981,0.0000000619
14,0.0000069853,0.0000000603
15,0.0000068117,0.0000000585
16,0.0000066689,0.0000000567
17,0.0000065504,0.0000000549
18,0.0000064513,0.0000000533
19,0.0000063676,0.0000000520
20,0.0000062962,0.0000000510
21,0.0000062347,0.0000000505
22,0.0000061816,0.0000000503
23,0.0000061355,0.0000000501
24,0.0000060952,0.0000000501
25,0.0000060597,0.0000000502
26,0.0000060282,0.0000000502
27,0.0000060003,0.0000000501
28,0.0000059754,0.0000000499
29,0.0000059530,0.0000000496
30,0.0000059330,0.0000000494
