Epoch,Error mean,Error std
1,0.0000352455,0.0000001112
2,0.0000348656,0.0000000959
3,0.0000345827,0.0000000838
4,0.0000343823,0.0000000767
5,0.0000342544,0.0000000751
6,0.0000341962,0.0000000779
7,0.0000341983,0.0000000835
8,0.0000342547,0.0000000910
9,0.0000343602,0.0000000980
10,0.0000345095,0.0000001065
11,0.0000347010,0.0000001141
12,0.0000349290,0.0000001205
13,0.0000351878,0.0000001260
14,0.0000354753,0.0000001305
15,0.0000357873,0.0000001351
16,0.0000361214,0.0000001390
17,0.0000364756,0.0000001426
18,0.0000368478,0.0000001461
19,0.0000372351,0.0000001499
20,0.0000376366,0.0000001534
21,0.0000380498,0.0000001562
22,0.0000384730,0.0000001592
23,0.0000389052,0.0000001625
24,0.0000393451,0.0000001650
25,0.0000397914,0.0000001669
26,0.0000402421,0.0000001685
27,0.0000406964,0.0000001699
28,0.0000411532,0.0000001711
29,0.0000416112,0.0000001722
30,0.0000420697,0.0000001732
