Epoch,Error mean,Error std
1,0.0000357904,0.0000003120
2,0.0000371476,0.0000002466
3,0.0000390765,0.0000001994
4,0.0000413351,0.0000001460
5,0.0000437803,0.0000000795
6,0.0000463389,0.0000000344
7,0.0000489274,0.0000000054
8,0.0000514433,0.0000000414
9,0.0000538054,0.0000000722
10,0.0000559808,0.0000000950
11,0.0000579725,0.0000001155
12,0.0000597980,0.0000001307
13,0.0000614710,0.0000001418
14,0.0000630103,0.0000001447
15,0.0000644334,0.0000001471
16,0.0000657503,0.0000001472
17,0.0000669683,0.0000001452
18,0.0000680896,0.0000001415
19,0.0000691171,0.0000001374
20,0.0000700542,0.0000001364
21,0.0000709027,0.0000001373
22,0.0000716667,0.0000001405
23,0.0000723519,0.0000001463
24,0.0000729660,0.0000001534
25,0.0000735173,0.0000001626
26,0.0000740129,0.0000001734
27,0.0000744598,0.0000001837
28,0.0000748645,0.0000001934
29,0.0000752316,0.0000002026
30,0.0000755662,0.0000002118
