Epoch,Error mean,Error std
1,0.0000278617,0.0000002205
2,0.0000225052,0.0000001567
3,0.0000187036,0.0000001168
4,0.0000159501,0.0000000934
5,0.0000139360,0.0000000739
6,0.0000124505,0.0000000611
7,0.0000113434,0.0000000425
8,0.0000105083,0.0000000266
9,0.0000098713,0.0000000141
10,0.0000093846,0.0000000026
11,0.0000090109,0.0000000068
12,0.0000087215,0.0000000130
13,0.0000084958,0.0000000187
14,0.0000083191,0.0000000236
15,0.0000081801,0.0000000271
16,0.0000080694,0.0000000301
17,0.0000079817,0.0000000319
18,0.0000079116,0.0000000347
19,0.0000078544,0.0000000372
20,0.0000078082,0.0000000394
21,0.0000077707,0.0000000416
22,0.0000077403,0.0000000446
23,0.0000077158,0.0000000471
24,0.0000076969,0.0000000492
25,0.0000076826,0.0000000513
26,0.0000076717,0.0000000528
27,0.0000076637,0.0000000545
28,0.0000076583,0.0000000563
29,0.0000076546,0.0000000583
30,0.0000076528,0.0000000605
