Epoch,Error mean,Error std
1,0.0000277737,0.0000002147
2,0.0000223681,0.0000001473
3,0.0000185337,0.0000001074
4,0.0000157612,0.0000000817
5,0.0000137261,0.0000000594
6,0.0000122203,0.0000000437
7,0.0000110969,0.0000000262
8,0.0000102482,0.0000000114
9,0.0000095996,0.0000000017
10,0.0000091031,0.0000000127
11,0.0000087168,0.0000000229
12,0.0000084152,0.0000000318
13,0.0000081765,0.0000000398
14,0.0000079863,0.0000000464
15,0.0000078344,0.0000000522
16,0.0000077120,0.0000000553
17,0.0000076123,0.0000000582
18,0.0000075316,0.0000000608
19,0.0000074651,0.0000000635
20,0.0000074103,0.0000000662
21,0.0000073647,0.0000000685
22,0.0000073268,0.0000000703
23,0.0000072949,0.0000000710
24,0.0000072683,0.0000000717
25,0.0000072458,0.0000000728
26,0.0000072270,0.0000000741
27,0.0000072115,0.0000000752
28,0.0000071991,0.0000000760
29,0.0000071887,0.0000000769
30,0.0000071805,0.0000000780
