Epoch,Error mean,Error std
1,0.0000269631,0.0000001839
2,0.0000217105,0.0000001579
3,0.0000185064,0.0000001381
4,0.0000165409,0.0000001216
5,0.0000153392,0.0000001101
6,0.0000145983,0.0000001001
7,0.0000141406,0.0000000940
8,0.0000138613,0.0000000890
9,0.0000136920,0.0000000850
10,0.0000135922,0.0000000816
11,0.0000135372,0.0000000770
12,0.0000135106,0.0000000729
13,0.0000135023,0.0000000700
14,0.0000135055,0.0000000682
15,0.0000135165,0.0000000673
16,0.0000135324,0.0000000672
17,0.0000135512,0.0000000677
18,0.0000135716,0.0000000687
19,0.0000135933,0.0000000696
20,0.0000136158,0.0000000709
21,0.0000136383,0.0000000723
22,0.0000136606,0.0000000740
23,0.0000136827,0.0000000757
24,0.0000137042,0.0000000772
25,0.0000137253,0.0000000787
26,0.0000137459,0.0000000799
27,0.0000137660,0.0000000810
28,0.0000137856,0.0000000822
29,0.0000138047,0.0000000832
30,0.0000138232,0.0000000840
