Epoch,Error mean,Error std
1,0.0000269444,-nan
2,0.0000217778,-nan
3,0.0000185981,-nan
4,0.0000166262,-nan
5,0.0000154247,-nan
6,0.0000146948,-nan
7,0.0000142491,-nan
8,0.0000139799,-nan
9,0.0000138226,-nan
10,0.0000137293,-nan
11,0.0000136782,-nan
12,0.0000136554,-nan
13,0.0000136531,-nan
14,0.0000136617,-nan
15,0.0000136777,-nan
16,0.0000136973,-nan
17,0.0000137196,-nan
18,0.0000137428,-nan
19,0.0000137659,-nan
20,0.0000137890,-nan
21,0.0000138117,-nan
22,0.0000138342,-nan
23,0.0000138564,-nan
24,0.0000138786,-nan
25,0.0000139005,-nan
26,0.0000139216,-nan
27,0.0000139429,-nan
28,0.0000139635,-nan
29,0.0000139836,-nan
30,0.0000140029,-nan
