Epoch,Error mean,Error std
1,0.0000266367,-nan
2,0.0000207594,-nan
3,0.0000167272,-nan
4,0.0000139021,-nan
5,0.0000118830,-nan
6,0.0000104335,-nan
7,0.0000093726,-nan
8,0.0000085899,-nan
9,0.0000080027,-nan
10,0.0000075562,-nan
11,0.0000072131,-nan
12,0.0000069473,-nan
13,0.0000067382,-nan
14,0.0000065721,-nan
15,0.0000064367,-nan
16,0.0000063261,-nan
17,0.0000062344,-nan
18,0.0000061574,-nan
19,0.0000060926,-nan
20,0.0000060371,-nan
21,0.0000059897,-nan
22,0.0000059481,-nan
23,0.0000059122,-nan
24,0.0000058810,-nan
25,0.0000058536,-nan
26,0.0000058291,-nan
27,0.0000058072,-nan
28,0.0000057877,-nan
29,0.0000057702,-nan
30,0.0000057543,-nan
