Epoch,Error mean,Error std
1,0.009847,0.001181
2,0.006086,0.000804
3,0.003661,0.000536
4,0.002910,0.000434
5,0.003264,0.000373
6,0.003778,0.000323
7,0.004247,0.000304
8,0.004645,0.000348
9,0.004976,0.000427
10,0.005243,0.000503
11,0.005472,0.000551
12,0.005662,0.000589
13,0.005816,0.000621
14,0.005944,0.000649
15,0.006053,0.000674
16,0.006147,0.000695
17,0.006227,0.000714
18,0.006297,0.000730
19,0.006357,0.000742
20,0.006408,0.000753
21,0.006454,0.000763
22,0.006494,0.000772
23,0.006530,0.000778
24,0.006562,0.000784
25,0.006591,0.000789
26,0.006617,0.000794
27,0.006640,0.000799
28,0.006661,0.000803
29,0.006679,0.000806
30,0.006696,0.000810
31,0.006712,0.000813
32,0.006726,0.000816
33,0.006739,0.000819
34,0.006751,0.000822
35,0.006762,0.000824
36,0.006772,0.000826
37,0.006781,0.000829
38,0.006790,0.000831
39,0.006798,0.000833
40,0.006805,0.000834
41,0.006812,0.000836
42,0.006819,0.000838
43,0.006825,0.000839
44,0.006831,0.000840
45,0.006836,0.000841
46,0.006842,0.000842
47,0.006846,0.000843
48,0.006851,0.000844
49,0.006855,0.000845
50,0.006859,0.000846
51,0.006863,0.000847
52,0.006867,0.000848
53,0.006870,0.000849
54,0.006873,0.000849
55,0.006876,0.000850
56,0.006879,0.000851
57,0.006882,0.000852
58,0.006885,0.000852
59,0.006887,0.000853
60,0.006889,0.000854
