Epoch,Error mean,Error std
1,0.006597,0.001005
2,0.003190,0.000638
3,0.001771,0.000566
4,0.001164,0.000584
5,0.000906,0.000582
6,0.000806,0.000561
7,0.000765,0.000533
8,0.000747,0.000509
9,0.000739,0.000491
10,0.000738,0.000478
11,0.000741,0.000469
12,0.000745,0.000463
13,0.000750,0.000458
14,0.000756,0.000455
15,0.000761,0.000452
16,0.000767,0.000451
17,0.000772,0.000450
18,0.000777,0.000449
19,0.000781,0.000449
20,0.000785,0.000449
21,0.000789,0.000449
22,0.000792,0.000449
23,0.000795,0.000450
24,0.000798,0.000450
25,0.000801,0.000451
26,0.000803,0.000451
27,0.000805,0.000452
28,0.000807,0.000452
29,0.000809,0.000452
30,0.000810,0.000453
31,0.000812,0.000453
32,0.000813,0.000454
33,0.000814,0.000454
34,0.000815,0.000455
35,0.000817,0.000455
36,0.000818,0.000456
37,0.000818,0.000456
38,0.000819,0.000457
39,0.000820,0.000457
40,0.000821,0.000457
41,0.000822,0.000458
42,0.000822,0.000458
43,0.000823,0.000459
44,0.000824,0.000459
45,0.000824,0.000459
46,0.000825,0.000460
47,0.000825,0.000460
48,0.000826,0.000460
49,0.000826,0.000461
50,0.000827,0.000461
51,0.000827,0.000461
52,0.000827,0.000462
53,0.000828,0.000462
54,0.000828,0.000462
55,0.000828,0.000462
56,0.000829,0.000463
57,0.000829,0.000463
58,0.000829,0.000463
59,0.000830,0.000463
60,0.000830,0.000464
