Epoch,Error mean,Error std
1,0.120179,0.031884
2,0.106500,0.025038
3,0.094562,0.021097
4,0.084449,0.019379
5,0.075844,0.019067
6,0.068516,0.019311
7,0.062302,0.019605
8,0.056978,0.019774
9,0.052395,0.019757
10,0.048430,0.019558
11,0.045006,0.019177
12,0.042030,0.018693
13,0.039423,0.018141
14,0.037112,0.017538
15,0.035055,0.016903
16,0.033215,0.016251
17,0.031588,0.015569
18,0.030126,0.014890
19,0.028800,0.014237
20,0.027596,0.013606
21,0.026504,0.012994
22,0.025506,0.012410
23,0.024592,0.011857
24,0.023751,0.011336
25,0.022988,0.010829
26,0.022281,0.010357
27,0.021625,0.009920
28,0.021014,0.009516
29,0.020444,0.009145
30,0.019911,0.008805
31,0.019423,0.008472
32,0.018966,0.008167
33,0.018536,0.007891
34,0.018131,0.007641
35,0.017748,0.007418
36,0.017386,0.007218
37,0.017043,0.007042
38,0.016722,0.006886
39,0.016418,0.006749
40,0.016130,0.006630
41,0.015855,0.006527
42,0.015593,0.006440
43,0.015343,0.006366
44,0.015105,0.006304
45,0.014877,0.006253
46,0.014673,0.006211
47,0.014495,0.006165
48,0.014340,0.006143
49,0.014201,0.006135
50,0.014067,0.006130
51,0.013938,0.006128
52,0.013814,0.006129
53,0.013695,0.006131
54,0.013581,0.006136
55,0.013471,0.006142
56,0.013365,0.006149
57,0.013263,0.006158
58,0.013165,0.006168
59,0.013086,0.006156
60,0.013011,0.006142
