Epoch,Error mean,Error std
1,0.060945,0.021639
2,0.027801,0.011377
3,0.013318,0.006231
4,0.006632,0.003372
5,0.003601,0.001991
6,0.002677,0.001133
7,0.002361,0.000759
8,0.002256,0.000641
9,0.002244,0.000742
10,0.002289,0.000866
11,0.002341,0.000944
12,0.002405,0.000985
13,0.002454,0.001008
14,0.002487,0.001024
15,0.002511,0.001036
16,0.002529,0.001043
17,0.002541,0.001049
18,0.002551,0.001053
19,0.002558,0.001055
20,0.002564,0.001057
21,0.002568,0.001058
22,0.002571,0.001059
23,0.002574,0.001059
24,0.002577,0.001059
25,0.002578,0.001059
26,0.002580,0.001059
27,0.002581,0.001059
28,0.002582,0.001059
29,0.002583,0.001058
30,0.002584,0.001058
31,0.002584,0.001058
32,0.002585,0.001057
33,0.002586,0.001057
34,0.002586,0.001057
35,0.002586,0.001057
36,0.002587,0.001057
37,0.002587,0.001056
38,0.002587,0.001056
39,0.002587,0.001056
40,0.002588,0.001056
41,0.002588,0.001056
42,0.002588,0.001055
43,0.002588,0.001055
44,0.002588,0.001055
45,0.002588,0.001055
46,0.002589,0.001055
47,0.002589,0.001055
48,0.002589,0.001055
49,0.002589,0.001054
50,0.002589,0.001054
51,0.002589,0.001054
52,0.002589,0.001054
53,0.002589,0.001054
54,0.002589,0.001054
55,0.002589,0.001054
56,0.002589,0.001054
57,0.002589,0.001054
58,0.002589,0.001054
59,0.002590,0.001054
60,0.002590,0.001054
