Epoch,Error mean,Error std
1,0.059833,0.021294
2,0.027256,0.011036
3,0.013214,0.006004
4,0.006940,0.003212
5,0.003984,0.001908
6,0.002717,0.001279
7,0.002179,0.000934
8,0.001959,0.000783
9,0.001867,0.000689
10,0.001820,0.000645
11,0.001793,0.000623
12,0.001776,0.000611
13,0.001764,0.000604
14,0.001757,0.000600
15,0.001754,0.000598
16,0.001752,0.000598
17,0.001752,0.000599
18,0.001752,0.000600
19,0.001752,0.000601
20,0.001752,0.000601
21,0.001752,0.000602
22,0.001752,0.000602
23,0.001752,0.000602
24,0.001752,0.000602
25,0.001752,0.000602
26,0.001752,0.000602
27,0.001752,0.000602
28,0.001752,0.000602
29,0.001752,0.000602
30,0.001752,0.000602
31,0.001752,0.000602
32,0.001752,0.000602
33,0.001752,0.000602
34,0.001752,0.000602
35,0.001752,0.000602
36,0.001752,0.000602
37,0.001752,0.000602
38,0.001752,0.000602
39,0.001752,0.000602
40,0.001752,0.000602
41,0.001752,0.000602
42,0.001752,0.000602
43,0.001752,0.000602
44,0.001752,0.000602
45,0.001752,0.000602
46,0.001752,0.000602
47,0.001752,0.000602
48,0.001752,0.000602
49,0.001752,0.000602
50,0.001752,0.000602
51,0.001752,0.000602
52,0.001752,0.000602
53,0.001752,0.000602
54,0.001752,0.000602
55,0.001752,0.000602
56,0.001752,0.000602
57,0.001752,0.000602
58,0.001752,0.000602
59,0.001752,0.000602
60,0.001752,0.000602
