Epoch,Error mean,Error std
1,0.129226,0.045805
2,0.117934,0.038950
3,0.107389,0.033892
4,0.098145,0.030688
5,0.090211,0.028922
6,0.083186,0.028101
7,0.077133,0.027710
8,0.071899,0.027457
9,0.067241,0.027339
10,0.063048,0.027254
11,0.059332,0.027139
12,0.055996,0.026989
13,0.052966,0.026797
14,0.050382,0.026382
15,0.048270,0.025756
16,0.046388,0.025093
17,0.044756,0.024279
18,0.043211,0.023494
19,0.041713,0.022774
20,0.040263,0.022110
21,0.038860,0.021495
22,0.037505,0.020924
23,0.036224,0.020362
24,0.035062,0.019768
25,0.034263,0.018929
26,0.033522,0.018112
27,0.032790,0.017373
28,0.032150,0.016751
29,0.031530,0.016192
30,0.030972,0.015693
31,0.030466,0.015269
32,0.029969,0.014889
33,0.029512,0.014496
34,0.029072,0.014123
35,0.028652,0.013774
36,0.028241,0.013457
37,0.027838,0.013169
38,0.027444,0.012908
39,0.027067,0.012658
40,0.026724,0.012388
41,0.026389,0.012144
42,0.026062,0.011923
43,0.025742,0.011726
44,0.025430,0.011550
45,0.025125,0.011396
46,0.024908,0.011230
47,0.024721,0.011071
48,0.024539,0.010926
49,0.024381,0.010805
50,0.024257,0.010708
51,0.024137,0.010620
52,0.024019,0.010543
53,0.023946,0.010495
54,0.023927,0.010513
55,0.023965,0.010601
56,0.024001,0.010694
57,0.024035,0.010792
58,0.024068,0.010892
59,0.024100,0.010996
60,0.024130,0.011102
