Epoch,Error mean,Error std
1,0.0000288582,-nan
2,0.0000243099,-nan
3,0.0000210822,-nan
4,0.0000188206,-nan
5,0.0000172517,-nan
6,0.0000162137,-nan
7,0.0000155692,-nan
8,0.0000152532,-nan
9,0.0000152277,-nan
10,0.0000154962,-nan
11,0.0000160870,-nan
12,0.0000170185,-nan
13,0.0000182679,-nan
14,0.0000197462,-nan
15,0.0000213107,-nan
16,0.0000228302,-nan
17,0.0000242024,-nan
18,0.0000253757,-nan
19,0.0000263315,-nan
20,0.0000270798,-nan
21,0.0000276519,-nan
22,0.0000280834,-nan
23,0.0000284129,-nan
24,0.0000286689,-nan
25,0.0000288726,-nan
26,0.0000290415,-nan
27,0.0000291856,-nan
28,0.0000293117,-nan
29,0.0000294248,-nan
30,0.0000295292,-nan
