Epoch,Error mean,Error std
1,0.0000278220,-nan
2,0.0000222834,-nan
3,0.0000183125,-nan
4,0.0000154181,-nan
5,0.0000132814,-nan
6,0.0000116848,-nan
7,0.0000104819,-nan
8,0.0000095621,-nan
9,0.0000088562,-nan
10,0.0000083070,-nan
11,0.0000078732,-nan
12,0.0000075276,-nan
13,0.0000072513,-nan
14,0.0000070290,-nan
15,0.0000068475,-nan
16,0.0000066975,-nan
17,0.0000065733,-nan
18,0.0000064690,-nan
19,0.0000063802,-nan
20,0.0000063033,-nan
21,0.0000062376,-nan
22,0.0000061808,-nan
23,0.0000061315,-nan
24,0.0000060879,-nan
25,0.0000060493,-nan
26,0.0000060154,-nan
27,0.0000059854,-nan
28,0.0000059583,-nan
29,0.0000059337,-nan
30,0.0000059113,-nan
