Epoch,Error mean,Error std
1,0.0000308667,-nan
2,0.0000272022,-nan
3,0.0000245522,-nan
4,0.0000227011,-nan
5,0.0000214910,-nan
6,0.0000207542,-nan
7,0.0000204126,-nan
8,0.0000204310,-nan
9,0.0000208023,-nan
10,0.0000215628,-nan
11,0.0000227860,-nan
12,0.0000245556,-nan
13,0.0000269493,-nan
14,0.0000299557,-nan
15,0.0000334111,-nan
16,0.0000370193,-nan
17,0.0000404483,-nan
18,0.0000434453,-nan
19,0.0000459089,-nan
20,0.0000478384,-nan
21,0.0000493058,-nan
22,0.0000504102,-nan
23,0.0000512439,-nan
24,0.0000518827,-nan
25,0.0000523837,-nan
26,0.0000527867,-nan
27,0.0000531215,-nan
28,0.0000534076,-nan
29,0.0000536588,-nan
30,0.0000538848,-nan
