Epoch,Error mean,Error std
1,0.0000373621,-nan
2,0.0000295245,-nan
3,0.0000239980,-nan
4,0.0000200136,-nan
5,0.0000170921,-nan
6,0.0000149186,-nan
7,0.0000132757,-nan
8,0.0000120227,-nan
9,0.0000110579,-nan
10,0.0000103031,-nan
11,0.0000097079,-nan
12,0.0000092330,-nan
13,0.0000088535,-nan
14,0.0000085487,-nan
15,0.0000082995,-nan
16,0.0000080948,-nan
17,0.0000079244,-nan
18,0.0000077824,-nan
19,0.0000076648,-nan
20,0.0000075665,-nan
21,0.0000074847,-nan
22,0.0000074155,-nan
23,0.0000073567,-nan
24,0.0000073061,-nan
25,0.0000072630,-nan
26,0.0000072272,-nan
27,0.0000071979,-nan
28,0.0000071740,-nan
29,0.0000071554,-nan
30,0.0000071414,-nan
