Epoch,Error mean,Error std
1,0.0000372619,-nan
2,0.0000295009,-nan
3,0.0000240146,-nan
4,0.0000200465,-nan
5,0.0000171323,-nan
6,0.0000149534,-nan
7,0.0000133038,-nan
8,0.0000120347,-nan
9,0.0000110498,-nan
10,0.0000102782,-nan
11,0.0000096722,-nan
12,0.0000091899,-nan
13,0.0000088043,-nan
14,0.0000084920,-nan
15,0.0000082363,-nan
16,0.0000080262,-nan
17,0.0000078528,-nan
18,0.0000077080,-nan
19,0.0000075850,-nan
20,0.0000074814,-nan
21,0.0000073934,-nan
22,0.0000073195,-nan
23,0.0000072565,-nan
24,0.0000072039,-nan
25,0.0000071589,-nan
26,0.0000071211,-nan
27,0.0000070894,-nan
28,0.0000070625,-nan
29,0.0000070404,-nan
30,0.0000070234,-nan
